Hero,Appeared With
HULK/DR. ROBERT BRUC,"DEVIL-SLAYER/ERIC SI, MAD VIKING/KNUT CAIN, ANDROMEDA/ANDROMEDA , FIRELORD/PYREUS KRIL, DAREDEVIL/MATT MURDO, LOCKJAW [INHUMAN], PARKER, MAY, RED GUARDIAN III/DR., HUMAN TORCH/JOHNNY S, ANALYZER, CLEA, TRITON, MASTERMIND/JASON WYN, PIP/PRINCE GOFERN, UATU, DR. DRUID/ANTHONY LU, WILSON, JIM, IONELLO, JASON, PSYLOCKE/ELISABETH B, MASTER ORDER, BEAST/HENRY &HANK& P, SHE-HULK/JENNIFER WA, GHOST RIDER III/DAN , MAN-BEAST, ARMBRUSTER, COLONEL , OBLIVION, NORRISS, SISTER BARB, GALACTUS/GALAN, CRYSTAL [INHUMAN], THUNDERSTRIKE/ERIC K, SILVER SURFER/NORRIN, ANGEL/WARREN KENNETH, WONDER MAN/SIMON WIL, ICEMAN/ROBERT BOBBY , KARNAK [INHUMAN], WONG, SCARLET WITCH/WANDA , BOOMERANG/FRED MYERS, KISMET/J'RIDIA STARD, ETERNITY/ADAM QADMON, CYCLOPS/SCOTT SUMMER, MONTANA, DOLLAR BILL, BLACK PANTHER/T'CHAL, QUICKSILVER/PIETRO M, NIGHT THRASHER/DUANE, IRON MAN/TONY STARK , NAMORITA/NITA PRENTI, WARLOCK II/ADAM WARL, PUNISHER II/FRANK CA, LOKI [ASGARDIAN], DRAX/ARTHUR DOUGLAS, BRICKFORD, CLAY, GREEN GOBLIN/NORMAN , HELLCAT/PATSY WALKER, SUNDOWN/DR. DAVE LOW, SUB-MARINER/NAMOR MA, INFINITY II, LORD CHAOS, ROBERTS, TED, MCKEEVER, TINY, SPEEDBALL/ROBBIE BAL, ANT-MAN/DR. HENRY J., COBALT MAN, VISION , JAMESON, J. JONAH, INVISIBLE WOMAN/SUE , THOMPSON, EUGENE FLA, NIGHTHAWK II/KYLE RI, THING/BENJAMIN J. GR, BLACK BOLT/BLACKANTO, CERBERUS, MISSING LINK, WOLVERINE/LOGAN , JUGGERNAUT/CAIN MARK, ABOMINATION/EMIL BLO, PROFESSOR X/CHARLES , IN-BETWEENER, MR. FANTASTIC/REED R, JUBILEE/JUBILATION L, STORM/ORORO MUNROE S, FIRESTAR/ANGELICA JO, OSBORN, LIZ ALLAN, DR. STRANGE/STEPHEN , DEATHLOK III/MICHAEL, HELA [ASGARDIAN], WASP/JANET VAN DYNE , NOVA/RICHARD RIDER, BANNER, BETTY ROSS T, JUSTICE II/VANCE AST, CORBEAU, DR. PETER, THUNDERBALL/DR. ELIO, RINTRAH, CAPTAIN AMERICA, OX, MARVEL GIRL/JEAN GRE, GORGON [INHUMAN], DELPHI, LEEDS, BETTY BRANT, JONES, RICHARD MILHO, TALBOT, GLENN, RHINO, SPIDER-MAN/PETER PAR, ROSS, GEN. THADDEUS , DEATH, HOGAN, HAROLD J. HAP, FANCY DAN, THOR/DR. DONALD BLAK"
NIGHT THRASHER/DUANE,"MR. FANTASTIC/REED R, JUBILEE/JUBILATION L, IRON MAN/TONY STARK , STORM/ORORO MUNROE S, OBLIVION, NAMORITA/NITA PRENTI, PUNISHER II/FRANK CA, GALACTUS/GALAN, ANDROMEDA/ANDROMEDA , FIRESTAR/ANGELICA JO, THUNDERSTRIKE/ERIC K, DEATHLOK III/MICHAEL, INFINITY II, LORD CHAOS, HULK/DR. ROBERT BRUC, SILVER SURFER/NORRIN, NOVA/RICHARD RIDER, JUSTICE II/VANCE AST, ANGEL/WARREN KENNETH, THUNDERBALL/DR. ELIO, SPEEDBALL/ROBBIE BAL, WONDER MAN/SIMON WIL, CAPTAIN AMERICA, MARVEL GIRL/JEAN GRE, UATU, VISION , PSYLOCKE/ELISABETH B, SCARLET WITCH/WANDA , INVISIBLE WOMAN/SUE , THING/BENJAMIN J. GR, MASTER ORDER, KISMET/J'RIDIA STARD, BEAST/HENRY &HANK& P, ETERNITY/ADAM QADMON, CYCLOPS/SCOTT SUMMER, WOLVERINE/LOGAN , SHE-HULK/JENNIFER WA, SPIDER-MAN/PETER PAR, DEATH, GHOST RIDER III/DAN , BLACK PANTHER/T'CHAL, IN-BETWEENER"
SPIDER-MAN/PETER PAR,"DR. OCTOPUS/OTTO OCT, FORTUNATO, GIACOMO J, TURBO II (A)/MICHIKO, ROSENTHAL, BERNIE, BOUNTY II, VULTURE/ADRIAN TOOME, JACK, DAREDEVIL/MATT MURDO, PARKER, MAY, GREEN GOBLIN III/BAR, MUGGINS, MAMIE, HUMAN TORCH/JOHNNY S, BULLSEYE II/BENJAMIN, SILVERMANE/SILVIO MA, DOLMAN, MORGAN, UATU, PULASKI, JOSEPHINE J, BLADE, WARD, SEN. STEWART, IONELLO, JASON, TOKKOTS, SHIFFMAN, MAXIE, BEAST/HENRY &HANK& P, ZELDA, RINGMASTER/MAYNARD T, LUBENSKI, NATE, STACY, PAUL, STACY, CAPT. GEORGE, RICHARDS, FRANKLIN B, PROUST, PAUL, BEYONDER, TOMBSTONE/LONNIE THO, SHA SHAN, BLOODY MARY, COLLINS, DEMITRIUS, DIAMOND, CHUCKY, HOCHBERG, ROGER, CANNONBALL/JACK PULV, MASTERS, ALICIA REIS, SLOAN, DR., SANDMAN/WILLIAM BAKE, KINCAID, DR. JANE FO, VULTURE II/BLACKIE D, GRANT, GLORIA GLORY, MAXWELL, MORRIS, ANGEL/WARREN KENNETH, KINGPIN/WILSON FISK, CHAMELEON/DMITRI SME, GEE/ALEX POWER, WATSON-PARKER, MARY , MCCORMICK, BARRY, BROMWELL, DR., STACY, ARTHUR, MYSTERIO/QUENTIN BEC, KINGSLEY, DANIEL, TREVANE, DET. CONNOR, ICEMAN/ROBERT BOBBY , HOBGOBLIN III/LEFTY , BUCKNER, GRANT, LIZARD/DR. CURTIS CO, WONG, JACKAL/MILES WARREN, SCARLET WITCH/WANDA , OVERRIDE/DR. GREGORY, STACY, GWEN (CLONE), STUNNER/ANGELINA BRA, CYCLOPS/SCOTT SUMMER, MONTANA, BIG MAN/FREDERICK FO, EVANS, DORIS, BANNON, LANCE, ELLIS, KEN, MAJESTON ZELIA, KWAN, TERRY, QUICKSILVER/PIETRO M, NIGHT THRASHER/DUANE, ROBERTSON, JOE, JAMESON, MARLA MADIS, PAGE, KAREN, TOWER, BLAKE, IRON MAN/TONY STARK , GAMBONNO, LUIGI, WARREN, MR., NAMORITA/NITA PRENTI, TRAINER, DR. SEWARD, PUNISHER II/FRANK CA, GREEN GOBLIN IV/PHIL, GREEN GOBLIN/NORMAN , THORSON, DR. WALTER, GLADIATOR II, GAMBONNO, ERNESTO, SUNDOWN/DR. DAVE LOW, SUB-MARINER/NAMOR MA, HULK/DR. ROBERT BRUC, ROBERTS, TED, MCKEEVER, TINY, SPEEDBALL/ROBBIE BAL, WATSON, ANNA, STACY, JILL, PERRIKUS, HINDSIGHT LAD/CARLTO, ANT-MAN/DR. HENRY J., URICH, BEN, VENOM/EDDIE BROCK, SPEEDBALL II/DARRION, LEEDS, NED, GRIM HUNTER/KRAVINOF, JAMESON, J. JONAH, THOMPSON, EUGENE FLA, KAINE, INVISIBLE WOMAN/SUE , THING/BENJAMIN J. GR, KINCAID, DR. KEITH, OSBORN, HARRY, MORBIUS/DR. MICHAEL , SPIDER-MAN CLONE/BEN, THINKER, MIMIC/CALVIN RANKIN, GUARDIAN IV, FROG-MAN II/EUGENE P, KRAVEN THE HUNTER/SE, FAIRMONT, HANNAH, LOCKER, MR., STACY, GWEN, PUPPET MASTER/PHILLI, PROFESSOR X/CHARLES , ANDERSON, BAXTER, MR. FANTASTIC/REED R, BLACK CAT/FELICIA HA, FIRESTAR/ANGELICA JO, OSBORN, LIZ ALLAN, DR. STRANGE/STEPHEN , D'SPAYRE, LUMLEY, JUDY, WASP/JANET VAN DYNE , NOVA/RICHARD RIDER, JUSTICE II/VANCE AST, ADVA, NELSON, FRANKLIN FOG, THUNDERBALL/DR. ELIO, FOREIGNER/RAFAEL BAS, TARANTULA/ANTON MIGU, CAPTAIN AMERICA, CAPUTO, DR. JULIA, OX, MARVEL GIRL/JEAN GRE, HITMAN/LT. BURT KENY, LIGHTMASTER/EDWARD L, LEEDS, BETTY BRANT, BYRNES, GAYLE WATSON, CALDRONE, JAVIER, BRUTO THE STRONGMAN/, CANTOR, VERA, WHITE TIGER/HECTOR A, SPIDERCIDE, TRAVELLER, DR. JUDAS, HOBGOBLIN II/RODERIC, HOGAN, HAROLD J. HAP, HYDROMAN/MORRIE BENC, RAVEN, LT. JACOB, FANCY DAN, THOR/DR. DONALD BLAK"
JUSTICE II/VANCE AST,"NIGHT THRASHER/DUANE, HULK/DR. ROBERT BRUC, NAMORITA/NITA PRENTI, FIRESTAR/ANGELICA JO, HINDSIGHT LAD/CARLTO, SPIDER-MAN CLONE/BEN, TURBO II (A)/MICHIKO, NOVA/RICHARD RIDER, SPEEDBALL II/DARRION, SPIDER-MAN/PETER PAR, SPEEDBALL/ROBBIE BAL, GEE/ALEX POWER, WATSON-PARKER, MARY "
TIGRA/GREER NELSON,"QUICKSILVER/PIETRO M, MR. FANTASTIC/REED R, MOON KNIGHT/MARC SPE, IRON MAN/TONY STARK , JOCASTA, GALACTUS/GALAN, MOCKINGBIRD/DR. BARB, DAZZLER II/ALLISON B, MOONDRAGON/HEATHER D, LORD CHAOS, SILVER SURFER/NORRIN, WASP/JANET VAN DYNE , HUMAN TORCH/JOHNNY S, ANGEL/WARREN KENNETH, SOUTHERN, CANDY, WONDER MAN/SIMON WIL, CAPTAIN AMERICA, GHOST RIDER II/JOHNN, BLACK WIDOW/NATASHA , ANT-MAN/DR. HENRY J., ICEMAN/ROBERT BOBBY , VISION , MOLECULE MAN/OWEN RE, HERCULES [GREEK GOD], SCARLET WITCH/WANDA , INVISIBLE WOMAN/SUE , JARVIS, EDWIN , THING/BENJAMIN J. GR, BEAST/HENRY &HANK& P, HAWK, BLACK PANTHER/T'CHAL, THOR/DR. DONALD BLAK"
WASP/JANET VAN DYNE ,"QUICKSILVER/PIETRO M, STARFOX/EROS, D'ANGELO, LIEUTENANT, MR. FANTASTIC/REED R, MOON KNIGHT/MARC SPE, IRON MAN/TONY STARK , DR. OCTOPUS/OTTO OCT, MANIPULATOR/, JOCASTA, ARBOGAST, BAMBI, MAD VIKING/KNUT CAIN, GALACTUS/GALAN, MOCKINGBIRD/DR. BARB, LOKI [ASGARDIAN], DRAX/ARTHUR DOUGLAS, DAZZLER II/ALLISON B, MASTERS, ALICIA REIS, GREEN GOBLIN/NORMAN , VULTURE/ADRIAN TOOME, OSBORN, LIZ ALLAN, DR. STRANGE/STEPHEN , SANDMAN/WILLIAM BAKE, DAREDEVIL/MATT MURDO, SUNDOWN/DR. DAVE LOW, PARKER, MAY, SUB-MARINER/NAMOR MA, MOONDRAGON/HEATHER D, LORD CHAOS, SILVER SURFER/NORRIN, HULK/DR. ROBERT BRUC, HARDY, MORGAN MACNEI, STANKOWICZ, FABIAN, HUMAN TORCH/JOHNNY S, MCKEEVER, TINY, ANGEL/WARREN KENNETH, SOUTHERN, CANDY, WONDER MAN/SIMON WIL, WATSON, ANNA, TIGRA/GREER NELSON, CAPTAIN AMERICA, BROMWELL, DR., GHOST RIDER II/JOHNN, MARVEL GIRL/JEAN GRE, BLACK WIDOW/NATASHA , EGGHEAD/PROF. ELIHAS, ANT-MAN/DR. HENRY J., ICEMAN/ROBERT BOBBY , DELPHI, LEEDS, NED, NOVA II/FRANKIE RAYE, VISION , WONG, JAMESON, J. JONAH, IONELLO, JASON, HERCULES [GREEK GOD], LEEDS, BETTY BRANT, SCARLET WITCH/WANDA , ANNIHILUS, INVISIBLE WOMAN/SUE , JARVIS, EDWIN , THOMPSON, EUGENE FLA, THING/BENJAMIN J. GR, STINGER II/, BEAST/HENRY &HANK& P, CYCLOPS/SCOTT SUMMER, SHE-HULK/JENNIFER WA, HAWK, SPIDER-MAN/PETER PAR, KRAVEN THE HUNTER/SE, STARR, TRIXIE TRISH, RICHARDS, FRANKLIN B, CAPTAIN MARVEL II/MO, HOGAN, HAROLD J. HAP, BLACK PANTHER/T'CHAL, THOR/DR. DONALD BLAK"
GALACTUS/GALAN,"QUICKSILVER/PIETRO M, NIGHT THRASHER/DUANE, STARFOX/EROS, MR. FANTASTIC/REED R, JUBILEE/JUBILATION L, IRON MAN/TONY STARK , STORM/ORORO MUNROE S, OBLIVION, GRIMM, JAKE, PUNISHER II/FRANK CA, MOCKINGBIRD/DR. BARB, ANDROMEDA/ANDROMEDA , MASTERS, ALICIA REIS, THUNDERSTRIKE/ERIC K, DEATHLOK III/MICHAEL, INFINITY II, LORD CHAOS, SILVER SURFER/NORRIN, WASP/JANET VAN DYNE , HULK/DR. ROBERT BRUC, HUMAN TORCH/JOHNNY S, NOVA/RICHARD RIDER, ANGEL/WARREN KENNETH, ANELLE, SPEEDBALL/ROBBIE BAL, WONDER MAN/SIMON WIL, TIGRA/GREER NELSON, CAPTAIN AMERICA, MARVEL GIRL/JEAN GRE, UATU, NOVA II/FRANKIE RAYE, VISION , PSYLOCKE/ELISABETH B, ANNIHILUS, SCARLET WITCH/WANDA , INVISIBLE WOMAN/SUE , THING/BENJAMIN J. GR, MASTER ORDER, KISMET/J'RIDIA STARD, BEAST/HENRY &HANK& P, ETERNITY/ADAM QADMON, CYCLOPS/SCOTT SUMMER, WOLVERINE/LOGAN , SHE-HULK/JENNIFER WA, HAWK, DEATH, GHOST RIDER III/DAN , RICHARDS, FRANKLIN B, CAPTAIN MARVEL II/MO, BLACK PANTHER/T'CHAL, IN-BETWEENER, THOR/DR. DONALD BLAK"
MOCKINGBIRD/DR. BARB,"QUICKSILVER/PIETRO M, BATROC/GEORGES BATRO, LORD CHAOS, IRON MAN/TONY STARK , SILVER SURFER/NORRIN, WASP/JANET VAN DYNE , MACHETE/FERDINAND LO, ZARAN/MAXIMILLIAN ZA, GALACTUS/GALAN, HAWK, TRICKSHOT, SILVER SABLE, SWORDSMAN/JACQUES DU, TIGRA/GREER NELSON, SCARLET WITCH/WANDA "
SILVER SURFER/NORRIN,"QUICKSILVER/PIETRO M, NIGHT THRASHER/DUANE, MR. FANTASTIC/REED R, JUBILEE/JUBILATION L, IRON MAN/TONY STARK , STORM/ORORO MUNROE S, OBLIVION, SILVER DAGGER/ISAIAH, WARLOCK II/ADAM WARL, PUNISHER II/FRANK CA, GALACTUS/GALAN, MOCKINGBIRD/DR. BARB, EMPRESS S'BYLL [SKRU, OBLITERATOR [ELDER], ANDROMEDA/ANDROMEDA , DR. STRANGE/STEPHEN , THUNDERSTRIKE/ERIC K, DEATHLOK III/MICHAEL, BARON BLOOD II/VICTO, SUPREME INTELLIGENCE, INFINITY II, SUPER SKRULL/KL'RT, LORD CHAOS, HULK/DR. ROBERT BRUC, WASP/JANET VAN DYNE , MIDNIGHT/M'NAI, AGAMOTTO, HUMAN TORCH/JOHNNY S, NOVA/RICHARD RIDER, ANGEL/WARREN KENNETH, SPEEDBALL/ROBBIE BAL, WONDER MAN/SIMON WIL, RINTRAH, TIGRA/GREER NELSON, CAPTAIN AMERICA, CLEA, MARVEL GIRL/JEAN GRE, PIP/PRINCE GOFERN, UATU, CHANG, IMEI, NOVA II/FRANKIE RAYE, VISION , MOLECULE MAN/OWEN RE, PSYLOCKE/ELISABETH B, CONTEMPLATOR/TATH KI, SCARLET WITCH/WANDA , INVISIBLE WOMAN/SUE , JARVIS, EDWIN , BLESSING, MORGANA, THING/BENJAMIN J. GR, MASTER ORDER, KISMET/J'RIDIA STARD, DR. DOOM/VICTOR VON , BEAST/HENRY &HANK& P, ETERNITY/ADAM QADMON, CYCLOPS/SCOTT SUMMER, WOLVERINE/LOGAN , SHE-HULK/JENNIFER WA, SHALLA BAL II, RONAN THE ACCUSER [K, REPTYL, HAWK, DEATH, STRANGER, GHOST RIDER III/DAN , BLACK PANTHER/T'CHAL, IN-BETWEENER, THOR/DR. DONALD BLAK"
HAWK,"QUICKSILVER/PIETRO M, CARPENTER, RACHEL, IRON MAN/TONY STARK , MOON KNIGHT/MARC SPE, SIF, JOCASTA, MACHETE/FERDINAND LO, COLLINS, DEMITRIUS, LOKI [ASGARDIAN], GALACTUS/GALAN, MOCKINGBIRD/DR. BARB, CASE, COL. PRESTON, VOLLA, BRADLEY, HANK, DAZZLER II/ALLISON B, CARPENTER, LARRY, THOR/DR. DONALD BLAK, SANDMAN/WILLIAM BAKE, KINCAID, DR. JANE FO, HELA [ASGARDIAN], SONIC, LORD CHAOS, MOONDRAGON/HEATHER D, SILVER SURFER/NORRIN, WASP/JANET VAN DYNE , ANGEL/WARREN KENNETH, FAIRMONT, AMANDA MAN, COOPER, DR. VALERIE, WONDER MAN/SIMON WIL, SWORDSMAN/JACQUES DU, TIGRA/GREER NELSON, CAPTAIN AMERICA, PERRIKUS, BATROC/GEORGES BATRO, PEREGRINE, LE/FRANCK, ZARAN/MAXIMILLIAN ZA, CHAIN, ANT-MAN/DR. HENRY J., ICEMAN/ROBERT BOBBY , SILVER SABLE, CLEMSON, MIKE, VISION , HERCULES [GREEK GOD], SCARLET WITCH/WANDA , JARVIS, EDWIN , GRASP, SPIDER-WOMAN II/JULI, BEAST/HENRY &HANK& P, DESTROYER III, RED SKULL II/ALBERT , IRON MAN IV/JAMES R., TRICKSHOT, FAIRMONT, HANNAH, BLACK PANTHER/T'CHAL, BLACK WIDOW/NATASHA "
LORD CHAOS,"QUICKSILVER/PIETRO M, NIGHT THRASHER/DUANE, ARCANNA/ARCANNA JONE, MR. FANTASTIC/REED R, JUBILEE/JUBILATION L, IRON MAN/TONY STARK , STORM/ORORO MUNROE S, OBLIVION, MAELSTROM/MALCOLM ST, PUNISHER II/FRANK CA, GALACTUS/GALAN, MOCKINGBIRD/DR. BARB, EON, ANDROMEDA/ANDROMEDA , DR. STRANGE/STEPHEN , THUNDERSTRIKE/ERIC K, DEATHLOK III/MICHAEL, KRONOS, INFINITY II, GARFIELD, MURRAY, MOONDRAGON/HEATHER D, RED GUARDIAN III/DR., SILVER SURFER/NORRIN, WASP/JANET VAN DYNE , HULK/DR. ROBERT BRUC, WHIZZER II/STANLEY S, NOVA/RICHARD RIDER, ANGEL/WARREN KENNETH, SERGEI, SPEEDBALL/ROBBIE BAL, WONDER MAN/SIMON WIL, TIGRA/GREER NELSON, CAPTAIN AMERICA, QUASAR III/WENDELL V, HYPERION, MARVEL GIRL/JEAN GRE, POWER PRINCESS/ZARDA, BALLANTINE, KAYLA, GARGOYLE II/ISAAC CH, UATU, JACK OF HEARTS/JACK , VISION , PSYLOCKE/ELISABETH B, SHAPE, SCARLET WITCH/WANDA , INVISIBLE WOMAN/SUE , LADY LARK/LINDA LEWI, TANAKA, KENJIRO, MASTER ORDER, KISMET/J'RIDIA STARD, THING/BENJAMIN J. GR, MAKKARI/MIKE KHARY/I, BEAST/HENRY &HANK& P, ETERNITY/ADAM QADMON, CYCLOPS/SCOTT SUMMER, WOLVERINE/LOGAN , SHE-HULK/JENNIFER WA, DR. SPECTRUM/JOSEPH , HAWK, DEATH, GHOST RIDER III/DAN , BLACK PANTHER/T'CHAL, IN-BETWEENER"
SCARLET WITCH/WANDA ,"CASE, COL. PRESTON, MOCKINGBIRD/DR. BARB, ANDROMEDA/ANDROMEDA , FIRELORD/PYREUS KRIL, MOONDRAGON/HEATHER D, TOPAZ, HUMAN TORCH/JOHNNY S, ANELLE, CLEA, WOLFE, SARA, PIP/PRINCE GOFERN, UATU, DR. DRUID/ANTHONY LU, GAMORA, PSYLOCKE/ELISABETH B, MASTER ORDER, BEAST/HENRY &HANK& P, SHE-HULK/JENNIFER WA, ZELDA, GHOST RIDER III/DAN , RICHARDS, FRANKLIN B, STINGER II/, STARFOX/EROS, COLLINS, DEMITRIUS, OBLIVION, GALACTUS/GALAN, VOLLA, MASTERS, ALICIA REIS, THUNDERSTRIKE/ERIC K, KINCAID, DR. JANE FO, BARON BLOOD II/VICTO, SILVER SURFER/NORRIN, ANGEL/WARREN KENNETH, FAIRMONT, AMANDA MAN, WONDER MAN/SIMON WIL, TIGRA/GREER NELSON, ICEMAN/ROBERT BOBBY , WONG, KISMET/J'RIDIA STARD, DESTROYER III, ETERNITY/ADAM QADMON, CYCLOPS/SCOTT SUMMER, BLACK PANTHER/T'CHAL, QUICKSILVER/PIETRO M, NIGHT THRASHER/DUANE, MOON KNIGHT/MARC SPE, IRON MAN/TONY STARK , JOCASTA, WARLOCK II/ADAM WARL, PUNISHER II/FRANK CA, LOKI [ASGARDIAN], BRADLEY, HANK, DRAX/ARTHUR DOUGLAS, INFINITY II, LORD CHAOS, HULK/DR. ROBERT BRUC, ROBERTS, TED, SPEEDBALL/ROBBIE BAL, PERRIKUS, ANT-MAN/DR. HENRY J., CHANG, IMEI, NOVA II/FRANKIE RAYE, VISION , INVISIBLE WOMAN/SUE , BLESSING, MORGANA, THING/BENJAMIN J. GR, DR. DOOM/VICTOR VON , CERBERUS, WOLVERINE/LOGAN , HAWK, MIMIC/CALVIN RANKIN, FAIRMONT, HANNAH, CAPTAIN MARVEL II/MO, PUPPET MASTER/PHILLI, PROFESSOR X/CHARLES , IN-BETWEENER, BLACK WIDOW/NATASHA , MR. FANTASTIC/REED R, JUBILEE/JUBILATION L, SIF, STORM/ORORO MUNROE S, GRIMM, JAKE, DAZZLER II/ALLISON B, DR. STRANGE/STEPHEN , DEATHLOK III/MICHAEL, HELA [ASGARDIAN], WASP/JANET VAN DYNE , NOVA/RICHARD RIDER, RINTRAH, CAPTAIN AMERICA, MARVEL GIRL/JEAN GRE, HERCULES [GREEK GOD], ANNIHILUS, JARVIS, EDWIN , CANTOR, VERA, SPIDER-MAN/PETER PAR, DEATH, THOR/DR. DONALD BLAK"
QUICKSILVER/PIETRO M,"ARCANNA/ARCANNA JONE, IRON MAN/TONY STARK , RUNNER, GALACTUS/GALAN, MOCKINGBIRD/DR. BARB, CRYSTAL [INHUMAN], EON, WHIZZER III/JAMES SA, BLACK RACER/, LOCKJAW [INHUMAN], LORD CHAOS, SILVER SURFER/NORRIN, WASP/JANET VAN DYNE , HULK/DR. ROBERT BRUC, FLASH/BARRY ALLEN/BU, ROBERTS, TED, WHIZZER II/STANLEY S, BANNER, BETTY ROSS T, ANGEL/WARREN KENNETH, TIGRA/GREER NELSON, TRITON, QUASAR III/WENDELL V, HYPERION, MARVEL GIRL/JEAN GRE, GORGON [INHUMAN], POWER PRINCESS/ZARDA, BALLANTINE, KAYLA, ICEMAN/ROBERT BOBBY , KARNAK [INHUMAN], SHAPE, SCARLET WITCH/WANDA , TANAKA, KENJIRO, LADY LARK/LINDA LEWI, BLACK BOLT/BLACKANTO, MAKKARI/MIKE KHARY/I, CANTOR, VERA, BEAST/HENRY &HANK& P, CYCLOPS/SCOTT SUMMER, DR. SPECTRUM/JOSEPH , HAWK, MIMIC/CALVIN RANKIN, SPIDER-MAN/PETER PAR, SUPER SABRE/MARTIN F, CAPTAIN MARVEL II/MO, PUPPET MASTER/PHILLI, PROFESSOR X/CHARLES , ZELDA"
UATU,"NIGHT THRASHER/DUANE, MR. FANTASTIC/REED R, JUBILEE/JUBILATION L, IRON MAN/TONY STARK , STORM/ORORO MUNROE S, OBLIVION, VIBRAXAS/N'KANO, PUNISHER II/FRANK CA, GALACTUS/GALAN, BLACK CAT/FELICIA HA, ANT-MAN II/SCOTT HAR, ANDROMEDA/ANDROMEDA , THUNDERSTRIKE/ERIC K, DEATHLOK III/MICHAEL, INFINITY II, LORD CHAOS, SILVER SURFER/NORRIN, HULK/DR. ROBERT BRUC, HUMAN TORCH/JOHNNY S, NOVA/RICHARD RIDER, ANGEL/WARREN KENNETH, WONDER MAN/SIMON WIL, SPEEDBALL/ROBBIE BAL, KRISTOFF/KRISTOFF VE, CAPTAIN AMERICA, WATSON-PARKER, MARY , MARVEL GIRL/JEAN GRE, HUNTARA/MARY ELIZABE, RICHARDS, NATHANIEL, VISION , JAMESON, J. JONAH, PSYLOCKE/ELISABETH B, SCARLET WITCH/WANDA , INVISIBLE WOMAN/SUE , PSI-LORD/FRANKLIN BE, MASTER ORDER, KISMET/J'RIDIA STARD, THING/BENJAMIN J. GR, DEVLOR, BEAST/HENRY &HANK& P, ETERNITY/ADAM QADMON, WOLVERINE/LOGAN , CYCLOPS/SCOTT SUMMER, SHE-HULK/JENNIFER WA, SPIDER-MAN/PETER PAR, LYJA LAZERFIST [SKRU, DEATH, GHOST RIDER III/DAN , BLACK PANTHER/T'CHAL, IN-BETWEENER"
